,PM2.5,O3,NO2,SO2,CO,tempC,humidity,windspeedKmph,pressure,uvIndex
PM2.5,1.0,0.013537810682178741,0.5732416710735061,0.43913273400317293,0.4634056054997356,0.3418793762878069,0.37003057129842715,-0.3824848226893922,-0.290099139190895,0.23453176621550886
O3,0.013537810682178741,1.0,-0.22014806980433632,0.1350079323109466,0.03368588048651507,0.21899621019588572,-0.16439392368274022,0.36321892421993934,-0.12539868050903874,0.31163236534902505
NO2,0.5732416710735061,-0.22014806980433632,1.0,0.5074563722897938,0.4595452141723956,0.2295850067161838,0.02618576685064775,-0.46452942144321924,0.04191268025126205,0.1683458554531828
SO2,0.43913273400317293,0.1350079323109466,0.5074563722897938,1.0,0.6323109465891062,0.5453628507940479,0.09832107568790883,-0.27001174520773075,-0.3643382031588923,0.48810446412287656
CO,0.4634056054997356,0.03368588048651507,0.4595452141723956,0.6323109465891062,1.0,0.7329714078742067,0.21247457127190253,-0.4362427425372913,-0.07599119922343749,0.6817083078578695
tempC,0.3418793762878069,0.21899621019588572,0.2295850067161838,0.5453628507940479,0.7329714078742067,1.0,0.23656901694506466,-0.22471897817101405,-0.2509230403385884,0.907986283074093
humidity,0.37003057129842715,-0.16439392368274022,0.02618576685064775,0.09832107568790883,0.21247457127190253,0.23656901694506466,1.0,-0.012986905198342,-0.4890955183695583,0.11216557966280839
windspeedKmph,-0.3824848226893922,0.36321892421993934,-0.46452942144321924,-0.27001174520773075,-0.4362427425372913,-0.22471897817101405,-0.012986905198342,1.0,-0.23956094830578303,-0.19669189848872484
pressure,-0.290099139190895,-0.12539868050903874,0.04191268025126205,-0.3643382031588923,-0.07599119922343749,-0.2509230403385884,-0.4890955183695583,-0.23956094830578303,1.0,-0.1596843727955424
uvIndex,0.23453176621550886,0.31163236534902505,0.1683458554531828,0.48810446412287656,0.6817083078578695,0.907986283074093,0.11216557966280839,-0.19669189848872484,-0.1596843727955424,1.0
