Date,Confirmed
2020-03-31,270
2020-04-01,292
2020-04-02,314
2020-04-03,351
2020-04-04,373
2020-04-05,416
2020-04-06,423
2020-04-07,457
2020-04-08,479
2020-04-09,507
2020-04-10,536
2020-04-11,579
2020-04-12,597
2020-04-13,612
2020-04-14,620
2020-04-15,625
2020-04-16,634
2020-04-17,651
2020-04-18,671
2020-04-19,682
2020-04-20,688
2020-04-21,698
2020-04-22,726
2020-04-23,778
2020-04-24,797
2020-04-25,797
2020-04-26,839
2020-04-27,839
2020-04-28,861
2020-04-29,880
2020-04-30,886
2020-05-01,929
2020-05-02,946
2020-05-03,969
2020-05-04,992
2020-05-05,1020
2020-05-06,1048
2020-05-07,1065
2020-05-08,1094
2020-05-09,1109
2020-05-10,1121
2020-05-11,1131
2020-05-12,1153
2020-05-13,1199
2020-05-14,1237
2020-05-15,1258
2020-05-16,1299
2020-05-17,1333
2020-05-18,1355
2020-05-19,1367
2020-05-20,1433
2020-05-21,1453
2020-05-22,1498
2020-05-23,1573
2020-05-24,1614
2020-05-25,1630
2020-05-26,1645
2020-05-27,1673
2020-05-28,1712
2020-05-29,1744
2020-05-30,1780
2020-05-31,1837
