Date,Confirmed
2020-03-31,788
2020-04-01,871
2020-04-02,961
2020-04-03,1049
2020-04-04,1171
2020-04-05,1326
2020-04-06,1433
2020-04-07,1495
2020-04-08,1559
2020-04-09,1689
2020-04-10,1741
2020-04-11,1891
2020-04-12,1960
2020-04-13,2020
2020-04-14,2056
2020-04-15,2146
2020-04-16,2264
2020-04-17,2404
2020-04-18,2491
2020-04-19,2589
2020-04-20,2636
2020-04-21,2738
2020-04-22,2846
2020-04-23,2970
2020-04-24,3116
2020-04-25,3234
2020-04-26,3359
2020-04-27,3457
2020-04-28,3578
2020-04-29,3723
2020-04-30,3972
2020-05-01,4156
2020-05-02,4421
2020-05-03,4585
2020-05-04,4751
2020-05-05,4929
2020-05-06,5138
2020-05-07,5196
2020-05-08,5525
2020-05-09,5779
2020-05-10,5827
2020-05-11,5988
2020-05-12,6219
2020-05-13,6341
2020-05-14,6599
2020-05-15,6821
2020-05-16,7096
2020-05-17,7240
2020-05-18,7340
2020-05-19,7482
2020-05-20,7644
2020-05-21,7835
2020-05-22,7950
2020-05-23,8177
2020-05-24,8277
2020-05-25,8379
2020-05-26,8448
2020-05-27,8627
2020-05-28,8896
2020-05-29,9112
2020-05-30,9522
2020-05-31,9815
