Date,Confirmed
2020-04-01,255
2020-04-02,283
2020-04-03,314
2020-04-04,330
2020-04-05,347
2020-04-06,383
2020-04-07,405
2020-04-08,423
2020-04-09,444
2020-04-10,464
2020-04-11,480
2020-04-12,501
2020-04-13,502
2020-04-14,514
2020-04-15,530
2020-04-16,550
2020-04-17,573
2020-04-18,590
2020-04-19,632
2020-04-20,632
2020-04-21,672
2020-04-22,678
2020-04-23,708
2020-04-24,747
2020-04-25,756
2020-04-26,772
2020-04-27,798
2020-04-28,820
2020-04-29,842
2020-04-30,860
2020-05-01,902
2020-05-02,937
2020-05-03,946
2020-05-04,961
2020-05-05,969
2020-05-06,997
2020-05-07,1021
2020-05-08,1038
2020-05-09,1056
2020-05-10,1068
2020-05-11,1075
2020-05-12,1093
2020-05-13,1111
2020-05-14,1119
2020-05-15,1137
2020-05-16,1147
2020-05-17,1150
2020-05-18,1155
2020-05-19,1177
2020-05-20,1197
2020-05-21,1202
2020-05-22,1257
2020-05-23,1264
2020-05-24,1269
2020-05-25,1277
2020-05-26,1280
2020-05-27,1286
2020-05-28,1295
2020-05-29,1303
2020-05-30,1305
2020-05-31,1312
