Date,Confirmed
2020-03-31,313
2020-04-01,313
2020-04-02,359
2020-04-03,443
2020-04-04,443
2020-04-05,566
2020-04-06,588
2020-04-07,634
2020-04-08,674
2020-04-09,674
2020-04-10,766
2020-04-11,806
2020-04-12,845
2020-04-13,888
2020-04-14,888
2020-04-15,964
2020-04-16,1007
2020-04-17,1063
2020-04-18,1114
2020-04-19,1164
2020-04-20,1193
2020-04-21,1241
2020-04-22,1242
2020-04-23,1352
2020-04-24,1403
2020-04-25,1439
2020-04-26,1470
2020-04-27,1500
2020-04-28,1533
2020-04-29,1568
2020-04-30,1603
2020-05-01,1636
2020-05-02,1706
2020-05-03,1749
2020-05-04,1776
2020-05-05,1809
2020-05-06,1863
2020-05-07,1917
2020-05-08,1961
2020-05-09,2023
2020-05-10,2064
2020-05-11,2101
2020-05-12,2133
2020-05-13,2178
2020-05-14,2234
2020-05-15,2367
2020-05-16,2351
2020-05-17,2392
2020-05-18,2457
2020-05-19,2522
2020-05-20,2560
2020-05-21,2609
2020-05-22,2708
2020-05-23,2760
2020-05-24,2847
2020-05-25,2874
2020-05-26,2986
2020-05-27,3049
2020-05-28,3097
2020-05-29,3195
2020-05-30,3289
2020-05-31,3390
