Date,Confirmed
2020-04-01,249
2020-04-02,250
2020-04-03,307
2020-04-04,307
2020-04-05,386
2020-04-06,417
2020-04-07,442
2020-04-08,462
2020-04-09,484
2020-04-10,511
2020-04-11,530
2020-04-12,539
2020-04-13,552
2020-04-14,552
2020-04-15,615
2020-04-16,631
2020-04-17,648
2020-04-18,685
2020-04-19,693
2020-04-20,707
2020-04-21,749
2020-04-22,763
2020-04-23,770
2020-04-24,786
2020-04-25,805
2020-04-26,817
2020-04-27,820
2020-04-28,842
2020-04-29,862
2020-04-30,891
2020-05-01,907
2020-05-02,934
2020-05-03,945
2020-05-04,947
2020-05-05,969
2020-05-06,985
2020-05-07,999
2020-05-08,1014
2020-05-09,1036
2020-05-10,1048
2020-05-11,1048
2020-05-12,1066
2020-05-13,1080
2020-05-14,1089
2020-05-15,1100
2020-05-16,1121
2020-05-17,1146
2020-05-18,1155
2020-05-19,1192
2020-05-20,1209
2020-05-21,1234
2020-05-22,1259
2020-05-23,1296
2020-05-24,1321
2020-05-25,1336
2020-05-26,1353
2020-05-27,1375
2020-05-28,1384
2020-05-29,1404
2020-05-30,1426
2020-05-31,1450
