Date,Confirmed
2020-04-01,3518
2020-04-02,4045
2020-04-03,4566
2020-04-04,4605
2020-04-05,5955
2020-04-06,6377
2020-04-07,6936
2020-04-08,7559
2020-04-09,7955
2020-04-10,8443
2020-04-11,8453
2020-04-12,8894
2020-04-13,9433
2020-04-14,10047
2020-04-15,10517
2020-04-16,10854
2020-04-17,11400
2020-04-18,12021
2020-04-19,12341
2020-04-20,13823
2020-04-21,15153
2020-04-22,16447
2020-04-23,17537
2020-04-24,18545
2020-04-25,19133
2020-04-26,19567
2020-04-27,20423
2020-04-28,20996
2020-04-29,22485
2020-04-30,23220
2020-05-01,24262
2020-05-02,24894
2020-05-03,25699
2020-05-04,26225
2020-05-05,27836
2020-05-06,28665
2020-05-07,29511
2020-05-08,30319
2020-05-09,31241
2020-05-10,31703
2020-05-11,32263
2020-05-12,33211
2020-05-13,34538
2020-05-14,35392
2020-05-15,36316
2020-05-16,37360
2020-05-17,38011
2020-05-18,38458
2020-05-19,39573
2020-05-20,40895
2020-05-21,42037
2020-05-22,43070
2020-05-23,44121
2020-05-24,45017
2020-05-25,46023
2020-05-26,47845
2020-05-27,48761
2020-05-28,49860
2020-05-29,51678
2020-05-30,53746
2020-05-31,55001
