Date,Confirmed
2020-04-01,606
2020-04-02,656
2020-04-03,711
2020-04-04,786
2020-04-05,834
2020-04-06,882
2020-04-07,931
2020-04-08,1016
2020-04-09,1079
2020-04-10,1138
2020-04-11,1221
2020-04-12,1277
2020-04-13,1283
2020-04-14,1299
2020-04-15,1376
2020-04-16,1425
2020-04-17,1501
2020-04-18,1556
2020-04-19,1636
2020-04-20,1676
2020-04-21,1691
2020-04-22,1753
2020-04-23,1827
2020-04-24,1845
2020-04-25,1969
2020-04-26,2074
2020-04-27,2126
2020-04-28,2151
2020-04-29,2252
2020-04-30,2393
2020-05-01,2537
2020-05-02,2636
2020-05-03,2743
2020-05-04,2819
2020-05-05,2873
2020-05-06,3004
2020-05-07,3092
2020-05-08,3240
2020-05-09,3380
2020-05-10,3502
2020-05-11,3557
2020-05-12,3602
2020-05-13,3749
2020-05-14,3968
2020-05-15,4125
2020-05-16,4222
2020-05-17,4376
2020-05-18,4434
2020-05-19,4500
2020-05-20,4742
2020-05-21,4841
2020-05-22,4941
2020-05-23,5157
2020-05-24,5336
2020-05-25,5469
2020-05-26,5578
2020-05-27,5646
2020-05-28,5744
2020-05-29,5923
2020-05-30,6100
2020-05-31,6261
