Date,Confirmed
2020-03-31,371
2020-04-01,371
2020-04-02,493
2020-04-03,493
2020-04-04,638
2020-04-05,799
2020-04-06,946
2020-04-07,1016
2020-04-08,1179
2020-04-09,1280
2020-04-10,1350
2020-04-11,1431
2020-04-12,1619
2020-04-13,1619
2020-04-14,1961
2020-04-15,1961
2020-04-16,2105
2020-04-17,2457
2020-04-18,2457
2020-04-19,2638
2020-04-20,2847
2020-04-21,2847
2020-04-22,2960
2020-04-23,3218
2020-04-24,3315
2020-04-25,3315
2020-04-26,3563
2020-04-27,3643
2020-04-28,3735
2020-04-29,3942
2020-04-30,4031
2020-05-01,4079
2020-05-02,4079
2020-05-03,4180
2020-05-04,4354
2020-05-05,4454
2020-05-06,4672
2020-05-07,4756
2020-05-08,4756
2020-05-09,4992
2020-05-10,4992
2020-05-11,5189
2020-05-12,5248
2020-05-13,5248
2020-05-14,5440
2020-05-15,5618
2020-05-16,5618
2020-05-17,5618
2020-05-18,5952
2020-05-19,6053
2020-05-20,6184
2020-05-21,6343
2020-05-22,6464
2020-05-23,6464
2020-05-24,6464
2020-05-25,7004
2020-05-26,7139
2020-05-27,7139
2020-05-28,7341
2020-05-29,7486
2020-05-30,7486
2020-05-31,7486
