Date,Confirmed
2020-03-31,603
2020-04-01,733
2020-04-02,849
2020-04-03,966
2020-04-04,1112
2020-04-05,1209
2020-04-06,1326
2020-04-07,1404
2020-04-08,1454
2020-04-09,1530
2020-04-10,1628
2020-04-11,1693
2020-04-12,1761
2020-04-13,1804
2020-04-14,1847
2020-04-15,1930
2020-04-16,2012
2020-04-17,2087
2020-04-18,2158
2020-04-19,2213
2020-04-20,2268
2020-04-21,2325
2020-04-22,2491
2020-04-23,2643
2020-04-24,2826
2020-04-25,2943
2020-04-26,2943
2020-04-27,3043
2020-04-28,3141
2020-04-29,3432
2020-04-30,3432
2020-05-01,3564
2020-05-02,3711
2020-05-03,3927
2020-05-04,3927
2020-05-05,4020
2020-05-06,4319
2020-05-07,4319
2020-05-08,4429
2020-05-09,4662
2020-05-10,4776
2020-05-11,5065
2020-05-12,5161
2020-05-13,5161
2020-05-14,5391
2020-05-15,5391
2020-05-16,5662
2020-05-17,5836
2020-05-18,5836
2020-05-19,6026
2020-05-20,6140
2020-05-21,6140
2020-05-22,6315
2020-05-23,6559
2020-05-24,6559
2020-05-25,6701
2020-05-26,6797
2020-05-27,6882
2020-05-28,7100
2020-05-29,7100
2020-05-30,7385
2020-05-31,7481
