Date,Confirmed
2020-03-31,309
2020-04-01,388
2020-04-02,453
2020-04-03,486
2020-04-04,538
2020-04-05,555
2020-04-06,579
2020-04-07,589
2020-04-08,617
2020-04-09,633
2020-04-10,638
2020-04-11,652
2020-04-12,652
2020-04-13,701
2020-04-14,721
2020-04-15,747
2020-04-16,767
2020-04-17,797
2020-04-18,838
2020-04-19,838
2020-04-20,920
2020-04-21,935
2020-04-22,958
2020-04-23,966
2020-04-24,989
2020-04-25,1019
2020-04-26,1019
2020-04-27,1080
2020-04-28,1099
2020-04-29,1136
2020-04-30,1177
2020-05-01,1197
2020-05-02,1233
2020-05-03,1233
2020-05-04,1281
2020-05-05,1315
2020-05-06,1341
2020-05-07,1377
2020-05-08,1397
2020-05-09,1425
2020-05-10,1425
2020-05-11,1464
2020-05-12,1497
2020-05-13,1515
2020-05-14,1536
2020-05-15,1575
2020-05-16,1602
2020-05-17,1602
2020-05-18,1671
2020-05-19,1687
2020-05-20,1697
2020-05-21,1738
2020-05-22,1783
2020-05-23,1833
2020-05-24,1833
2020-05-25,1833
2020-05-26,1904
2020-05-27,1963
2020-05-28,2022
2020-05-29,2061
2020-05-30,2104
2020-05-31,2104
