Date,Confirmed
2020-03-31,890
2020-04-01,956
2020-04-02,1019
2020-04-03,1019
2020-04-04,1148
2020-04-05,1207
2020-04-06,1207
2020-04-07,1285
2020-04-08,1380
2020-04-09,1380
2020-04-10,1442
2020-04-11,1484
2020-04-12,1566
2020-04-13,1666
2020-04-14,1666
2020-04-15,1793
2020-04-16,1833
2020-04-17,1870
2020-04-18,1870
2020-04-19,1870
2020-04-20,1922
2020-04-21,1922
2020-04-22,1962
2020-04-23,1987
2020-04-24,2018
2020-04-25,2040
2020-04-26,2084
2020-04-27,2105
2020-04-28,2122
2020-04-29,2134
2020-04-30,2163
2020-05-01,2179
2020-05-02,2205
2020-05-03,2231
2020-05-04,2244
2020-05-05,2255
2020-05-06,2268
2020-05-07,2281
2020-05-08,2290
2020-05-09,2307
2020-05-10,2339
2020-05-11,2341
2020-05-12,2362
2020-05-13,2364
2020-05-14,2391
2020-05-15,2391
2020-05-16,2418
2020-05-17,2453
2020-05-18,2453
2020-05-19,2483
2020-05-20,2492
2020-05-21,2492
2020-05-22,2492
2020-05-23,2571
2020-05-24,2617
2020-05-25,2652
2020-05-26,2675
2020-05-27,2688
2020-05-28,2701
2020-05-29,2707
2020-05-30,2731
2020-05-31,2776
