Date,Confirmed
2020-03-31,333
2020-04-01,333
2020-04-02,381
2020-04-03,441
2020-04-04,500
2020-04-05,608
2020-04-06,652
2020-04-07,718
2020-04-08,764
2020-04-09,764
2020-04-10,877
2020-04-11,931
2020-04-12,1083
2020-04-13,1142
2020-04-14,1183
2020-04-15,1183
2020-04-16,1243
2020-04-17,1342
2020-04-18,1419
2020-04-19,1536
2020-04-20,1536
2020-04-21,1649
2020-04-22,1717
2020-04-23,1824
2020-04-24,2030
2020-04-25,2083
2020-04-26,2160
2020-04-27,2252
2020-04-28,2312
2020-04-29,2389
2020-04-30,2472
2020-05-01,2557
2020-05-02,2625
2020-05-03,2706
2020-05-04,2758
2020-05-05,2883
2020-05-06,2977
2020-05-07,3089
2020-05-08,3148
2020-05-09,3228
2020-05-10,3272
2020-05-11,3313
2020-05-12,3370
2020-05-13,3464
2020-05-14,3526
2020-05-15,3583
2020-05-16,3652
2020-05-17,3703
2020-05-18,3767
2020-05-19,3827
2020-05-20,3889
2020-05-21,3943
2020-05-22,3974
2020-05-23,4027
2020-05-24,4039
2020-05-25,4075
2020-05-26,4121
2020-05-27,4166
2020-05-28,4201
2020-05-29,4254
2020-05-30,4353
2020-05-31,4394
