Date,Confirmed
2020-04-01,539
2020-04-02,586
2020-04-03,643
2020-04-04,716
2020-04-05,825
2020-04-06,847
2020-04-07,884
2020-04-08,927
2020-04-09,927
2020-04-10,1031
2020-04-11,1113
2020-04-12,1247
2020-04-13,1346
2020-04-14,1402
2020-04-15,1402
2020-04-16,1468
2020-04-17,1549
2020-04-18,1636
2020-04-19,1784
2020-04-20,1784
2020-04-21,2004
2020-04-22,2071
2020-04-23,2172
2020-04-24,2385
2020-04-25,2487
2020-04-26,2583
2020-04-27,2682
2020-04-28,2791
2020-04-29,2890
2020-04-30,3001
2020-05-01,3092
2020-05-02,3222
2020-05-03,3345
2020-05-04,3428
2020-05-05,3546
2020-05-06,3674
2020-05-07,3799
2020-05-08,3892
2020-05-09,4001
2020-05-10,4070
2020-05-11,4118
2020-05-12,4187
2020-05-13,4254
2020-05-14,4359
2020-05-15,4452
2020-05-16,4548
2020-05-17,4656
2020-05-18,4720
2020-05-19,4790
2020-05-20,4858
2020-05-21,4948
2020-05-22,5056
2020-05-23,5151
2020-05-24,5173
2020-05-25,5216
2020-05-26,5269
2020-05-27,5316
2020-05-28,5434
2020-05-29,5569
2020-05-30,5690
2020-05-31,5775
