Date,Confirmed
2020-04-01,286
2020-04-02,314
2020-04-03,340
2020-04-04,374
2020-04-05,435
2020-04-06,441
2020-04-07,457
2020-04-08,472
2020-04-09,472
2020-04-10,534
2020-04-11,550
2020-04-12,613
2020-04-13,641
2020-04-14,652
2020-04-15,652
2020-04-16,668
2020-04-17,689
2020-04-18,708
2020-04-19,731
2020-04-20,731
2020-04-21,744
2020-04-22,774
2020-04-23,798
2020-04-24,853
2020-04-25,862
2020-04-26,867
2020-04-27,879
2020-04-28,884
2020-04-29,907
2020-04-30,932
2020-05-01,964
2020-05-02,988
2020-05-03,994
2020-05-04,1005
2020-05-05,1028
2020-05-06,1055
2020-05-07,1079
2020-05-08,1097
2020-05-09,1109
2020-05-10,1124
2020-05-11,1137
2020-05-12,1157
2020-05-13,1175
2020-05-14,1204
2020-05-15,1251
2020-05-16,1291
2020-05-17,1314
2020-05-18,1348
2020-05-19,1357
2020-05-20,1386
2020-05-21,1428
2020-05-22,1460
2020-05-23,1493
2020-05-24,1505
2020-05-25,1535
2020-05-26,1581
2020-05-27,1600
2020-05-28,1636
2020-05-29,1674
2020-05-30,1717
2020-05-31,1732
