Date,Confirmed
2020-04-01,304
2020-04-02,356
2020-04-03,385
2020-04-04,440
2020-04-05,519
2020-04-06,540
2020-04-07,579
2020-04-08,610
2020-04-09,610
2020-04-10,660
2020-04-11,683
2020-04-12,763
2020-04-13,787
2020-04-14,809
2020-04-15,809
2020-04-16,837
2020-04-17,860
2020-04-18,888
2020-04-19,957
2020-04-20,957
2020-04-21,1011
2020-04-22,1064
2020-04-23,1075
2020-04-24,1157
2020-04-25,1236
2020-04-26,1265
2020-04-27,1276
2020-04-28,1298
2020-04-29,1314
2020-04-30,1338
2020-05-01,1373
2020-05-02,1384
2020-05-03,1405
2020-05-04,1431
2020-05-05,1466
2020-05-06,1507
2020-05-07,1542
2020-05-08,1574
2020-05-09,1627
2020-05-10,1649
2020-05-11,1658
2020-05-12,1678
2020-05-13,1716
2020-05-14,1748
2020-05-15,1775
2020-05-16,1800
2020-05-17,1831
2020-05-18,1849
2020-05-19,1882
2020-05-20,1932
2020-05-21,1974
2020-05-22,1999
2020-05-23,2030
2020-05-24,2040
2020-05-25,2061
2020-05-26,2090
2020-05-27,2098
2020-05-28,2123
2020-05-29,2171
2020-05-30,2196
2020-05-31,2221
