Date,Confirmed
2020-03-31,255
2020-04-01,255
2020-04-02,293
2020-04-03,329
2020-04-04,379
2020-04-05,470
2020-04-06,504
2020-04-07,537
2020-04-08,573
2020-04-09,573
2020-04-10,614
2020-04-11,649
2020-04-12,738
2020-04-13,808
2020-04-14,858
2020-04-15,858
2020-04-16,928
2020-04-17,960
2020-04-18,986
2020-04-19,1063
2020-04-20,1063
2020-04-21,1180
2020-04-22,1237
2020-04-23,1263
2020-04-24,1353
2020-04-25,1430
2020-04-26,1469
2020-04-27,1544
2020-04-28,1618
2020-04-29,1704
2020-04-30,1776
2020-05-01,1802
2020-05-02,1836
2020-05-03,1872
2020-05-04,1897
2020-05-05,1955
2020-05-06,1988
2020-05-07,2042
2020-05-08,2087
2020-05-09,2120
2020-05-10,2139
2020-05-11,2159
2020-05-12,2190
2020-05-13,2211
2020-05-14,2232
2020-05-15,2260
2020-05-16,2281
2020-05-17,2295
2020-05-18,2305
2020-05-19,2326
2020-05-20,2338
2020-05-21,2358
2020-05-22,2367
2020-05-23,2391
2020-05-24,2406
2020-05-25,2412
2020-05-26,2423
2020-05-27,2430
2020-05-28,2444
2020-05-29,2472
2020-05-30,2480
2020-05-31,2488
