Date,Confirmed
2020-04-01,586
2020-04-02,653
2020-04-03,757
2020-04-04,902
2020-04-05,1002
2020-04-06,1097
2020-04-07,1211
2020-04-08,1440
2020-04-09,1523
2020-04-10,1660
2020-04-11,1778
2020-04-12,1875
2020-04-13,1955
2020-04-14,2058
2020-04-15,2197
2020-04-16,2350
2020-04-17,2476
2020-04-18,2666
2020-04-19,2793
2020-04-20,2927
2020-04-21,3098
2020-04-22,3206
2020-04-23,3361
2020-04-24,3528
2020-04-25,3699
2020-04-26,3841
2020-04-27,3892
2020-04-28,3994
2020-04-29,4106
2020-04-30,4323
2020-05-01,4658
2020-05-02,4797
2020-05-03,5016
2020-05-04,5170
2020-05-05,5322
2020-05-06,5461
2020-05-07,5654
2020-05-08,5899
2020-05-09,6102
2020-05-10,6272
2020-05-11,6389
2020-05-12,6485
2020-05-13,6584
2020-05-14,6736
2020-05-15,6871
2020-05-16,7042
2020-05-17,7123
2020-05-18,7270
2020-05-19,7434
2020-05-20,7551
2020-05-21,7788
2020-05-22,7893
2020-05-23,7966
2020-05-24,8110
2020-05-25,8225
2020-05-26,8334
2020-05-27,8406
2020-05-28,8492
2020-05-29,8538
2020-05-30,8717
2020-05-31,8801
