Date,Confirmed
2020-03-31,1219
2020-04-01,1232
2020-04-02,1481
2020-04-03,1598
2020-04-04,1765
2020-04-05,1886
2020-04-06,2067
2020-04-07,2230
2020-04-08,2358
2020-04-09,2454
2020-04-10,2645
2020-04-11,2806
2020-04-12,2945
2020-04-13,3177
2020-04-14,3261
2020-04-15,3363
2020-04-16,3466
2020-04-17,3688
2020-04-18,3838
2020-04-19,3971
2020-04-20,4078
2020-04-21,4168
2020-04-22,4228
2020-04-23,4431
2020-04-24,4591
2020-04-25,4659
2020-04-26,4729
2020-04-27,4794
2020-04-28,4847
2020-04-29,4898
2020-04-30,4953
2020-05-01,5144
2020-05-02,5257
2020-05-03,5312
2020-05-04,5383
2020-05-05,5492
2020-05-06,5553
2020-05-07,5677
2020-05-08,5688
2020-05-09,5780
2020-05-10,5858
2020-05-11,5882
2020-05-12,5973
2020-05-13,5998
2020-05-14,6057
2020-05-15,6133
2020-05-16,6201
2020-05-17,6243
2020-05-18,6322
2020-05-19,6369
2020-05-20,6407
2020-05-21,6514
2020-05-22,6580
2020-05-23,6649
2020-05-24,6697
2020-05-25,6760
2020-05-26,6799
2020-05-27,6825
2020-05-28,6870
2020-05-29,6975
2020-05-30,7067
2020-05-31,7123
