Date,Confirmed
2020-04-01,309
2020-04-02,404
2020-04-03,463
2020-04-04,497
2020-04-05,536
2020-04-06,571
2020-04-07,608
2020-04-08,626
2020-04-09,644
2020-04-10,671
2020-04-11,690
2020-04-12,759
2020-04-13,813
2020-04-14,819
2020-04-15,869
2020-04-16,878
2020-04-17,924
2020-04-18,943
2020-04-19,960
2020-04-20,973
2020-04-21,979
2020-04-22,982
2020-04-23,1008
2020-04-24,1022
2020-04-25,1041
2020-04-26,1048
2020-04-27,1062
2020-04-28,1080
2020-04-29,1105
2020-04-30,1124
2020-05-01,1163
2020-05-02,1240
2020-05-03,1281
2020-05-04,1300
2020-05-05,1324
2020-05-06,1331
2020-05-07,1364
2020-05-08,1371
2020-05-09,1400
2020-05-10,1432
2020-05-11,1448
2020-05-12,1473
2020-05-13,1494
2020-05-14,1530
2020-05-15,1568
2020-05-16,1585
2020-05-17,1614
2020-05-18,1653
2020-05-19,1670
2020-05-20,1703
2020-05-21,1767
2020-05-22,1790
2020-05-23,1823
2020-05-24,1883
2020-05-25,1939
2020-05-26,1969
2020-05-27,1995
2020-05-28,2019
2020-05-29,2069
2020-05-30,2129
2020-05-31,2201
