Date,Confirmed
2020-03-31,551
2020-04-01,567
2020-04-02,737
2020-04-03,858
2020-04-04,954
2020-04-05,1000
2020-04-06,1069
2020-04-07,1136
2020-04-08,1206
2020-04-09,1260
2020-04-10,1388
2020-04-11,1441
2020-04-12,1646
2020-04-13,1704
2020-04-14,1740
2020-04-15,1814
2020-04-16,1867
2020-04-17,2088
2020-04-18,2138
2020-04-19,2170
2020-04-20,2260
2020-04-21,2320
2020-04-22,2403
2020-04-23,2554
2020-04-24,2600
2020-04-25,2614
2020-04-26,2697
2020-04-27,2763
2020-04-28,2877
2020-04-29,2911
2020-04-30,2963
2020-05-01,3041
2020-05-02,3080
2020-05-03,3130
2020-05-04,3311
2020-05-05,3390
2020-05-06,3480
2020-05-07,3587
2020-05-08,3615
2020-05-09,3798
2020-05-10,3870
2020-05-11,3889
2020-05-12,4093
2020-05-13,4176
2020-05-14,4278
2020-05-15,4391
2020-05-16,4440
2020-05-17,4524
2020-05-18,4658
2020-05-19,4699
2020-05-20,4776
2020-05-21,4968
2020-05-22,5072
2020-05-23,5140
2020-05-24,5201
2020-05-25,5355
2020-05-26,5429
2020-05-27,5455
2020-05-28,5541
2020-05-29,5765
2020-05-30,5898
2020-05-31,5996
