Date,Confirmed
2020-04-01,293
2020-04-02,329
2020-04-03,381
2020-04-04,428
2020-04-05,456
2020-04-06,515
2020-04-07,550
2020-04-08,588
2020-04-09,629
2020-04-10,662
2020-04-11,696
2020-04-12,714
2020-04-13,782
2020-04-14,895
2020-04-15,924
2020-04-16,990
2020-04-17,1072
2020-04-18,1100
2020-04-19,1125
2020-04-20,1196
2020-04-21,1215
2020-04-22,1272
2020-04-23,1326
2020-04-24,1368
2020-04-25,1395
2020-04-26,1428
2020-04-27,1483
2020-04-28,1515
2020-04-29,1571
2020-04-30,1614
2020-05-01,1677
2020-05-02,1749
2020-05-03,1768
2020-05-04,1840
2020-05-05,1886
2020-05-06,1999
2020-05-07,2024
2020-05-08,2072
2020-05-09,2128
2020-05-10,2175
2020-05-11,2186
2020-05-12,2253
2020-05-13,2280
2020-05-14,2363
2020-05-15,2395
2020-05-16,2407
2020-05-17,2406
2020-05-18,2429
2020-05-19,2503
2020-05-20,2584
2020-05-21,2625
2020-05-22,2655
2020-05-23,2661
2020-05-24,2702
2020-05-25,2795
2020-05-26,2854
2020-05-27,2907
2020-05-28,2948
2020-05-29,2987
2020-05-30,3009
2020-05-31,3027
