Date,Confirmed
2020-03-31,335
2020-04-01,365
2020-04-02,396
2020-04-03,448
2020-04-04,500
2020-04-05,543
2020-04-06,579
2020-04-07,645
2020-04-08,706
2020-04-09,742
2020-04-10,795
2020-04-11,835
2020-04-12,869
2020-04-13,980
2020-04-14,1144
2020-04-15,1191
2020-04-16,1247
2020-04-17,1349
2020-04-18,1396
2020-04-19,1452
2020-04-20,1521
2020-04-21,1534
2020-04-22,1609
2020-04-23,1689
2020-04-24,1721
2020-04-25,1788
2020-04-26,1800
2020-04-27,1855
2020-04-28,1887
2020-04-29,1970
2020-04-30,2026
2020-05-01,2072
2020-05-02,2148
2020-05-03,2183
2020-05-04,2259
2020-05-05,2284
2020-05-06,2357
2020-05-07,2396
2020-05-08,2445
2020-05-09,2489
2020-05-10,2535
2020-05-11,2555
2020-05-12,2605
2020-05-13,2632
2020-05-14,2664
2020-05-15,2751
2020-05-16,2800
2020-05-17,2802
2020-05-18,2856
2020-05-19,2918
2020-05-20,2979
2020-05-21,3038
2020-05-22,3080
2020-05-23,3146
2020-05-24,3257
2020-05-25,3305
2020-05-26,3421
2020-05-27,3573
2020-05-28,3635
2020-05-29,3718
2020-05-30,3731
2020-05-31,3734
