Date,Confirmed
2020-04-01,480
2020-04-02,507
2020-04-03,560
2020-04-04,636
2020-04-05,686
2020-04-06,716
2020-04-07,939
2020-04-08,986
2020-04-09,1020
2020-04-10,1062
2020-04-11,1076
2020-04-12,1154
2020-04-13,1217
2020-04-14,1297
2020-04-15,1308
2020-04-16,1338
2020-04-17,1381
2020-04-18,1406
2020-04-19,1422
2020-04-20,1436
2020-04-21,1446
2020-04-22,1479
2020-04-23,1478
2020-04-24,1465
2020-04-25,1470
2020-04-26,1470
2020-04-27,1480
2020-04-28,1491
2020-04-29,1499
2020-04-30,1505
2020-05-01,1530
2020-05-02,1534
2020-05-03,1536
2020-05-04,1543
2020-05-05,1550
2020-05-06,1555
2020-05-07,1566
2020-05-08,1583
2020-05-09,1587
2020-05-10,1593
2020-05-11,1609
2020-05-12,1643
2020-05-13,1644
2020-05-14,1643
2020-05-15,1662
2020-05-16,1662
2020-05-17,1661
2020-05-18,1664
2020-05-19,1668
2020-05-20,1672
2020-05-21,1716
2020-05-22,1723
2020-05-23,1725
2020-05-24,1727
2020-05-25,1730
2020-05-26,1774
2020-05-27,1784
2020-05-28,1764
2020-05-29,1764
2020-05-30,1770
2020-05-31,1770
