Date,Confirmed
2020-03-31,570
2020-04-01,624
2020-04-02,712
2020-04-03,882
2020-04-04,941
2020-04-05,962
2020-04-06,1027
2020-04-07,1124
2020-04-08,1240
2020-04-09,1276
2020-04-10,1364
2020-04-11,1422
2020-04-12,1467
2020-04-13,1598
2020-04-14,1812
2020-04-15,1844
2020-04-16,1929
2020-04-17,2025
2020-04-18,2054
2020-04-19,2110
2020-04-20,2198
2020-04-21,2208
2020-04-22,2255
2020-04-23,2436
2020-04-24,2500
2020-04-25,2543
2020-04-26,2545
2020-04-27,2680
2020-04-28,2727
2020-04-29,2770
2020-04-30,2811
2020-05-01,2882
2020-05-02,2928
2020-05-03,2979
2020-05-04,3065
2020-05-05,3164
2020-05-06,3251
2020-05-07,3258
2020-05-08,3317
2020-05-09,3385
2020-05-10,3508
2020-05-11,3516
2020-05-12,3595
2020-05-13,3614
2020-05-14,3625
2020-05-15,3703
2020-05-16,3749
2020-05-17,3761
2020-05-18,3751
2020-05-19,3795
2020-05-20,3793
2020-05-21,3872
2020-05-22,3931
2020-05-23,3977
2020-05-24,4054
2020-05-25,4080
2020-05-26,4230
2020-05-27,4309
2020-05-28,4367
2020-05-29,4490
2020-05-30,4507
2020-05-31,4524
