Date,Confirmed
2020-03-31,238
2020-04-01,250
2020-04-02,282
2020-04-03,329
2020-04-04,364
2020-04-05,408
2020-04-06,443
2020-04-07,525
2020-04-08,565
2020-04-09,603
2020-04-10,646
2020-04-11,675
2020-04-12,690
2020-04-13,739
2020-04-14,815
2020-04-15,852
2020-04-16,896
2020-04-17,1017
2020-04-18,1050
2020-04-19,1099
2020-04-20,1181
2020-04-21,1222
2020-04-22,1273
2020-04-23,1351
2020-04-24,1382
2020-04-25,1460
2020-04-26,1504
2020-04-27,1545
2020-04-28,1603
2020-04-29,1720
2020-04-30,1787
2020-05-01,1846
2020-05-02,1934
2020-05-03,1976
2020-05-04,2056
2020-05-05,2102
2020-05-06,2222
2020-05-07,2253
2020-05-08,2323
2020-05-09,2403
2020-05-10,2447
2020-05-11,2475
2020-05-12,2496
2020-05-13,2510
2020-05-14,2552
2020-05-15,2597
2020-05-16,2597
2020-05-17,2594
2020-05-18,2680
2020-05-19,2771
2020-05-20,2820
2020-05-21,2882
2020-05-22,2961
2020-05-23,2997
2020-05-24,3056
2020-05-25,3198
2020-05-26,3307
2020-05-27,3480
2020-05-28,3619
2020-05-29,3733
2020-05-30,3769
2020-05-31,3780
