Date,Confirmed
2020-04-01,475
2020-04-02,546
2020-04-03,661
2020-04-04,733
2020-04-05,768
2020-04-06,889
2020-04-07,997
2020-04-08,1081
2020-04-09,1276
2020-04-10,1394
2020-04-11,1545
2020-04-12,1647
2020-04-13,1694
2020-04-14,1798
2020-04-15,1885
2020-04-16,1985
2020-04-17,2134
2020-04-18,2254
2020-04-19,2337
2020-04-20,2337
2020-04-21,2533
2020-04-22,2678
2020-04-23,2836
2020-04-24,3060
2020-04-25,3229
2020-04-26,3295
2020-04-27,3381
2020-04-28,3546
2020-04-29,3698
2020-04-30,3777
2020-05-01,3900
2020-05-02,4003
2020-05-03,4066
2020-05-04,4114
2020-05-05,4203
2020-05-06,4321
2020-05-07,4441
2020-05-08,4522
2020-05-09,4647
2020-05-10,4714
2020-05-11,4763
2020-05-12,4831
2020-05-13,4889
2020-05-14,4974
2020-05-15,5038
2020-05-16,5133
2020-05-17,5205
2020-05-18,5264
2020-05-19,5335
2020-05-20,5418
2020-05-21,5492
2020-05-22,5568
2020-05-23,5621
2020-05-24,5687
2020-05-25,5755
2020-05-26,5796
2020-05-27,5845
2020-05-28,5878
2020-05-29,5942
2020-05-30,5982
2020-05-31,6035
