Date,Confirmed
2020-04-01,1910
2020-04-02,2270
2020-04-03,2835
2020-04-04,3491
2020-04-05,3924
2020-04-06,4395
2020-04-07,4949
2020-04-08,5437
2020-04-09,5879
2020-04-10,6411
2020-04-11,6851
2020-04-12,7469
2020-04-13,7879
2020-04-14,8242
2020-04-15,8511
2020-04-16,9165
2020-04-17,9636
2020-04-18,9956
2020-04-19,10486
2020-04-20,11150
2020-04-21,11221
2020-04-22,12088
2020-04-23,12681
2020-04-24,13011
2020-04-25,13367
2020-04-26,13708
2020-04-27,13925
2020-04-28,14309
2020-04-29,14596
2020-04-30,14916
2020-05-01,15148
2020-05-02,15401
2020-05-03,15769
2020-05-04,15881
2020-05-05,16099
2020-05-06,16197
2020-05-07,17142
2020-05-08,17365
2020-05-09,17365
2020-05-10,17513
2020-05-11,17801
2020-05-12,17677
2020-05-13,17451
2020-05-14,17602
2020-05-15,18048
2020-05-16,18048
2020-05-17,18498
2020-05-18,18498
2020-05-19,18679
2020-05-20,18880
2020-05-21,18880
2020-05-22,18880
2020-05-23,18959
2020-05-24,18879
2020-05-25,18879
2020-05-26,18927
2020-05-27,18606
2020-05-28,18660
2020-05-29,18919
2020-05-30,18919
2020-05-31,18767
