Date,Confirmed
2020-03-31,192
2020-04-01,228
2020-04-02,256
2020-04-03,351
2020-04-04,405
2020-04-05,410
2020-04-06,410
2020-04-07,423
2020-04-08,428
2020-04-09,428
2020-04-10,446
2020-04-11,452
2020-04-12,454
2020-04-13,454
2020-04-14,458
2020-04-15,458
2020-04-16,469
2020-04-17,473
2020-04-18,475
2020-04-19,475
2020-04-20,476
2020-04-21,478
2020-04-22,480
2020-04-23,485
2020-04-24,489
2020-04-25,490
2020-04-26,492
2020-04-27,492
2020-04-28,497
2020-04-29,497
2020-04-30,498
2020-05-01,497
2020-05-02,497
2020-05-03,497
2020-05-04,498
2020-05-05,499
2020-05-06,499
2020-05-07,499
2020-05-08,499
2020-05-09,499
2020-05-10,503
2020-05-11,506
2020-05-12,506
2020-05-13,506
2020-05-14,507
2020-05-15,507
2020-05-16,508
2020-05-17,508
2020-05-18,508
2020-05-19,508
2020-05-20,509
2020-05-21,509
2020-05-22,510
2020-05-23,510
2020-05-24,510
2020-05-25,510
2020-05-26,510
2020-05-27,510
2020-05-28,512
2020-05-29,512
2020-05-30,512
2020-05-31,512
