Date,Confirmed
2020-03-31,4496
2020-04-01,5152
2020-04-02,5575
2020-04-03,6111
2020-04-04,7439
2020-04-05,8034
2020-04-06,8728
2020-04-07,8728
2020-04-08,10520
2020-04-09,10520
2020-04-10,12472
2020-04-11,13417
2020-04-12,14585
2020-04-13,15474
2020-04-14,16323
2020-04-15,17306
2020-04-16,18087
2020-04-17,19391
2020-04-18,20395
2020-04-19,21272
2020-04-20,22101
2020-04-21,23181
2020-04-22,24546
2020-04-23,25811
2020-04-24,27616
2020-04-25,29058
2020-04-26,30574
2020-04-27,31953
2020-04-28,33449
2020-04-29,34880
2020-04-30,36513
2020-05-01,38668
2020-05-02,40227
2020-05-03,42324
2020-05-04,43715
2020-05-05,45223
2020-05-06,46689
2020-05-07,48341
2020-05-08,50236
2020-05-09,51674
2020-05-10,52655
2020-05-11,53381
2020-05-12,55470
2020-05-13,56406
2020-05-14,58457
2020-05-15,59905
2020-05-16,61212
2020-05-17,62218
2020-05-18,63690
2020-05-19,64691
2020-05-20,66213
2020-05-21,67551
2020-05-22,68949
2020-05-23,70417
2020-05-24,72010
2020-05-25,73097
2020-05-26,73819
2020-05-27,74521
2020-05-28,75306
2020-05-29,76266
2020-05-30,77119
2020-05-31,77925
