Date,Confirmed
2020-03-31,356
2020-04-01,392
2020-04-02,448
2020-04-03,500
2020-04-04,590
2020-04-05,656
2020-04-06,715
2020-04-07,715
2020-04-08,875
2020-04-09,875
2020-04-10,1008
2020-04-11,1048
2020-04-12,1162
2020-04-13,1223
2020-04-14,1312
2020-04-15,1386
2020-04-16,1463
2020-04-17,1560
2020-04-18,1642
2020-04-19,1695
2020-04-20,1761
2020-04-21,1864
2020-04-22,1947
2020-04-23,2047
2020-04-24,2219
2020-04-25,2311
2020-04-26,2443
2020-04-27,2628
2020-04-28,2736
2020-04-29,2870
2020-04-30,3081
2020-05-01,3256
2020-05-02,3432
2020-05-03,3611
2020-05-04,3803
2020-05-05,3918
2020-05-06,4056
2020-05-07,4213
2020-05-08,4374
2020-05-09,4493
2020-05-10,4603
2020-05-11,4745
2020-05-12,5121
2020-05-13,5244
2020-05-14,5453
2020-05-15,5634
2020-05-16,5780
2020-05-17,5904
2020-05-18,6076
2020-05-19,6171
2020-05-20,6308
2020-05-21,6471
2020-05-22,6744
2020-05-23,6891
2020-05-24,7060
2020-05-25,7207
2020-05-26,7290
2020-05-27,7350
2020-05-28,7460
2020-05-29,7543
2020-05-30,7620
2020-05-31,7707
