Date,Confirmed
2020-03-31,389
2020-04-01,477
2020-04-02,540
2020-04-03,608
2020-04-04,683
2020-04-05,742
2020-04-06,815
2020-04-07,815
2020-04-08,1041
2020-04-09,1041
2020-04-10,1230
2020-04-11,1331
2020-04-12,1445
2020-04-13,1516
2020-04-14,1621
2020-04-15,1711
2020-04-16,1767
2020-04-17,1914
2020-04-18,2073
2020-04-19,2162
2020-04-20,2216
2020-04-21,2287
2020-04-22,2379
2020-04-23,2540
2020-04-24,2717
2020-04-25,2879
2020-04-26,2990
2020-04-27,3080
2020-04-28,3192
2020-04-29,3382
2020-04-30,3509
2020-05-01,3766
2020-05-02,3975
2020-05-03,4161
2020-05-04,4252
2020-05-05,4370
2020-05-06,4529
2020-05-07,4762
2020-05-08,4985
2020-05-09,5199
2020-05-10,5245
2020-05-11,5323
2020-05-12,5662
2020-05-13,5758
2020-05-14,5992
2020-05-15,6157
2020-05-16,6382
2020-05-17,6489
2020-05-18,6645
2020-05-19,6709
2020-05-20,6905
2020-05-21,7128
2020-05-22,7291
2020-05-23,7465
2020-05-24,7615
2020-05-25,7723
2020-05-26,7767
2020-05-27,7845
2020-05-28,7933
2020-05-29,8063
2020-05-30,8238
2020-05-31,8331
