Date,Confirmed
2020-04-01,322
2020-04-02,384
2020-04-03,455
2020-04-04,582
2020-04-05,648
2020-04-06,697
2020-04-07,697
2020-04-08,914
2020-04-09,914
2020-04-10,1077
2020-04-11,1126
2020-04-12,1228
2020-04-13,1283
2020-04-14,1350
2020-04-15,1433
2020-04-16,1494
2020-04-17,1566
2020-04-18,1603
2020-04-19,1643
2020-04-20,1692
2020-04-21,1736
2020-04-22,1820
2020-04-23,1885
2020-04-24,2009
2020-04-25,2060
2020-04-26,2126
2020-04-27,2173
2020-04-28,2254
2020-04-29,2369
2020-04-30,2492
2020-05-01,2617
2020-05-02,2796
2020-05-03,2868
2020-05-04,3066
2020-05-05,3150
2020-05-06,3332
2020-05-07,3434
2020-05-08,3561
2020-05-09,3636
2020-05-10,3684
2020-05-11,3740
2020-05-12,3896
2020-05-13,3973
2020-05-14,4090
2020-05-15,4277
2020-05-16,4312
2020-05-17,4388
2020-05-18,4455
2020-05-19,4560
2020-05-20,4694
2020-05-21,4797
2020-05-22,4929
2020-05-23,5012
2020-05-24,5117
2020-05-25,5188
2020-05-26,5238
2020-05-27,5279
2020-05-28,5356
2020-05-29,5442
2020-05-30,5510
2020-05-31,5566
