Date,Confirmed
2020-04-01,1117
2020-04-02,1304
2020-04-03,1429
2020-04-04,1570
2020-04-05,1760
2020-04-06,1956
2020-04-07,2141
2020-04-08,2290
2020-04-09,2415
2020-04-10,2600
2020-04-11,2742
2020-04-12,2887
2020-04-13,3012
2020-04-14,3063
2020-04-15,3204
2020-04-16,3320
2020-04-17,3518
2020-04-18,3624
2020-04-19,3889
2020-04-20,4052
2020-04-21,4176
2020-04-22,4263
2020-04-23,4408
2020-04-24,4537
2020-04-25,4727
2020-04-26,4796
2020-04-27,4926
2020-04-28,5080
2020-04-29,5295
2020-04-30,5530
2020-05-01,5754
2020-05-02,5983
2020-05-03,6176
2020-05-04,6327
2020-05-05,6419
2020-05-06,6730
2020-05-07,6914
2020-05-08,7078
2020-05-09,7245
2020-05-10,7336
2020-05-11,7510
2020-05-12,7632
2020-05-13,7703
2020-05-14,7793
2020-05-15,7995
2020-05-16,8151
2020-05-17,8303
2020-05-18,8406
2020-05-19,8541
2020-05-20,8656
2020-05-21,8815
2020-05-22,8928
2020-05-23,9040
2020-05-24,9132
2020-05-25,9189
2020-05-26,9268
2020-05-27,9371
2020-05-28,9524
2020-05-29,9616
2020-05-30,9761
2020-05-31,9853
