Date,Confirmed
2020-04-01,2330
2020-04-02,2656
2020-04-03,2787
2020-04-04,2898
2020-04-05,3167
2020-04-06,3331
2020-04-07,3486
2020-04-08,3688
2020-04-09,3886
2020-04-10,4117
2020-04-11,4262
2020-04-12,4426
2020-04-13,4426
2020-04-14,4549
2020-04-15,4620
2020-04-16,4697
2020-04-17,4902
2020-04-18,4902
2020-04-19,5174
2020-04-20,5174
2020-04-21,5293
2020-04-22,5379
2020-04-23,5532
2020-04-24,5637
2020-04-25,5739
2020-04-26,5863
2020-04-27,5945
2020-04-28,6001
2020-04-29,6103
2020-04-30,6207
2020-05-01,6274
2020-05-02,6351
2020-05-03,6449
2020-05-04,6545
2020-05-05,6621
2020-05-06,6704
2020-05-07,6809
2020-05-08,6863
2020-05-09,6947
2020-05-10,7007
2020-05-11,7068
2020-05-12,7137
2020-05-13,7212
2020-05-14,7290
2020-05-15,7325
2020-05-16,7426
2020-05-17,7472
2020-05-18,7515
2020-05-19,7565
2020-05-20,7602
2020-05-21,7630
2020-05-22,7669
2020-05-23,7669
2020-05-24,7783
2020-05-25,7826
2020-05-26,7835
2020-05-27,7863
2020-05-28,7923
2020-05-29,7949
2020-05-30,7993
2020-05-31,8092
