Date,Confirmed
2020-03-31,1193
2020-04-01,1433
2020-04-02,2178
2020-04-03,2495
2020-04-04,3008
2020-04-05,3088
2020-04-06,3530
2020-04-07,3922
2020-04-08,4092
2020-04-09,4480
2020-04-10,4678
2020-04-11,4877
2020-04-12,4990
2020-04-13,5088
2020-04-14,5188
2020-04-15,5265
2020-04-16,5346
2020-04-17,5476
2020-04-18,5543
2020-04-19,5592
2020-04-20,5761
2020-04-21,5802
2020-04-22,5860
2020-04-23,5929
2020-04-24,5985
2020-04-25,6007
2020-04-26,6059
2020-04-27,6104
2020-04-28,6135
2020-04-29,6173
2020-04-30,6197
2020-05-01,6305
2020-05-02,6362
2020-05-03,6388
2020-05-04,6426
2020-05-05,6491
2020-05-06,6554
2020-05-07,6588
2020-05-08,6610
2020-05-09,6679
2020-05-10,6709
2020-05-11,6755
2020-05-12,6789
2020-05-13,6833
2020-05-14,6860
2020-05-15,6897
2020-05-16,6982
2020-05-17,7039
2020-05-18,7059
2020-05-19,7095
2020-05-20,7128
2020-05-21,7175
2020-05-22,7232
2020-05-23,7232
2020-05-24,7248
2020-05-25,7298
2020-05-26,7332
2020-05-27,7394
2020-05-28,7424
2020-05-29,7424
2020-05-30,7536
2020-05-31,7584
