Date,Confirmed
2020-03-31,227
2020-04-01,289
2020-04-02,353
2020-04-03,427
2020-04-04,491
2020-04-05,590
2020-04-06,648
2020-04-07,652
2020-04-08,866
2020-04-09,979
2020-04-10,1072
2020-04-11,1173
2020-04-12,1257
2020-04-13,1361
2020-04-14,1377
2020-04-15,1485
2020-04-16,1516
2020-04-17,1569
2020-04-18,1664
2020-04-19,1733
2020-04-20,1875
2020-04-21,1925
2020-04-22,2012
2020-04-23,2132
2020-04-24,2234
2020-04-25,2387
2020-04-26,2509
2020-04-27,2548
2020-04-28,2631
2020-04-29,2740
2020-04-30,2831
2020-05-01,3013
2020-05-02,3183
2020-05-03,3301
2020-05-04,3448
2020-05-05,3430
2020-05-06,3527
2020-05-07,3662
2020-05-08,3763
2020-05-09,3737
2020-05-10,3862
2020-05-11,3948
2020-05-12,4051
2020-05-13,4160
2020-05-14,4290
2020-05-15,4399
2020-05-16,4549
2020-05-17,4624
2020-05-18,4749
2020-05-19,4920
2020-05-20,5025
2020-05-21,5135
2020-05-22,5170
2020-05-23,5290
2020-05-24,5373
2020-05-25,5476
2020-05-26,5498
2020-05-27,5562
2020-05-28,5678
2020-05-29,5819
2020-05-30,5955
2020-05-31,6065
