Date,Confirmed
2020-03-31,388
2020-04-01,447
2020-04-02,498
2020-04-03,566
2020-04-04,640
2020-04-05,693
2020-04-06,793
2020-04-07,871
2020-04-08,1088
2020-04-09,1214
2020-04-10,1388
2020-04-11,1537
2020-04-12,1631
2020-04-13,1756
2020-04-14,1883
2020-04-15,1933
2020-04-16,2133
2020-04-17,2280
2020-04-18,2404
2020-04-19,2507
2020-04-20,2647
2020-04-21,2768
2020-04-22,2868
2020-04-23,3060
2020-04-24,3227
2020-04-25,3483
2020-04-26,3645
2020-04-27,3843
2020-04-28,4003
2020-04-29,4152
2020-04-30,4300
2020-05-01,4754
2020-05-02,4919
2020-05-03,5150
2020-05-04,5384
2020-05-05,5541
2020-05-06,5790
2020-05-07,6032
2020-05-08,6316
2020-05-09,6555
2020-05-10,6762
2020-05-11,6909
2020-05-12,7130
2020-05-13,7283
2020-05-14,7548
2020-05-15,7759
2020-05-16,7988
2020-05-17,8206
2020-05-18,8417
2020-05-19,8950
2020-05-20,9052
2020-05-21,9260
2020-05-22,9432
2020-05-23,9699
2020-05-24,9922
2020-05-25,10111
2020-05-26,10291
2020-05-27,10467
2020-05-28,10752
2020-05-29,11035
2020-05-30,11251
2020-05-31,11361
