Date,Confirmed
2020-03-31,459
2020-04-01,561
2020-04-02,621
2020-04-03,745
2020-04-04,898
2020-04-05,963
2020-04-06,1067
2020-04-07,1194
2020-04-08,1327
2020-04-09,1507
2020-04-10,1677
2020-04-11,1809
2020-04-12,2024
2020-04-13,2141
2020-04-14,2207
2020-04-15,2308
2020-04-16,2466
2020-04-17,2577
2020-04-18,2688
2020-04-19,2832
2020-04-20,2832
2020-04-21,3043
2020-04-22,3253
2020-04-23,3529
2020-04-24,4160
2020-04-25,4380
2020-04-26,4495
2020-04-27,4607
2020-04-28,4744
2020-04-29,4871
2020-04-30,5083
2020-05-01,5259
2020-05-02,5409
2020-05-03,5507
2020-05-04,5602
2020-05-05,5736
2020-05-06,5899
2020-05-07,6081
2020-05-08,6194
2020-05-09,6311
2020-05-10,6382
2020-05-11,6457
2020-05-12,6507
2020-05-13,6592
2020-05-14,6774
2020-05-15,6875
2020-05-16,6987
2020-05-17,7064
2020-05-18,7139
2020-05-19,7198
2020-05-20,7280
2020-05-21,7366
2020-05-22,7424
2020-05-23,7480
2020-05-24,7559
2020-05-25,7594
2020-05-26,7632
2020-05-27,7656
2020-05-28,7724
2020-05-29,7766
2020-05-30,7819
2020-05-31,7859
