Date,Confirmed
2020-04-01,333
2020-04-02,386
2020-04-03,484
2020-04-04,586
2020-04-05,654
2020-04-06,740
2020-04-07,837
2020-04-08,992
2020-04-09,1161
2020-04-10,1282
2020-04-11,1434
2020-04-12,1567
2020-04-13,1646
2020-04-14,1731
2020-04-15,1856
2020-04-16,2037
2020-04-17,2123
2020-04-18,2215
2020-04-19,2395
2020-04-20,2591
2020-04-21,2591
2020-04-22,2845
2020-04-23,2991
2020-04-24,3086
2020-04-25,3245
2020-04-26,3355
2020-04-27,3433
2020-04-28,3605
2020-04-29,3725
2020-04-30,3937
2020-05-01,4077
2020-05-02,4271
2020-05-03,4504
2020-05-04,4594
2020-05-05,4743
2020-05-06,4860
2020-05-07,4986
2020-05-08,5111
2020-05-09,5233
2020-05-10,5317
2020-05-11,5393
2020-05-12,5426
2020-05-13,5499
2020-05-14,5612
2020-05-15,5673
2020-05-16,5719
2020-05-17,5825
2020-05-18,5950
2020-05-19,6018
2020-05-20,6162
2020-05-21,6205
2020-05-22,6295
2020-05-23,6351
2020-05-24,6413
2020-05-25,6491
2020-05-26,6544
2020-05-27,6592
2020-05-28,6670
2020-05-29,6775
2020-05-30,6850
2020-05-31,6933
