Date,Confirmed
2020-04-01,2202
2020-04-02,2886
2020-04-03,3364
2020-04-04,3890
2020-04-05,4146
2020-04-06,4481
2020-04-07,4997
2020-04-08,5354
2020-04-09,5745
2020-04-10,6119
2020-04-11,6487
2020-04-12,7058
2020-04-13,7459
2020-04-14,7712
2020-04-15,8066
2020-04-16,8326
2020-04-17,8824
2020-04-18,9045
2020-04-19,9354
2020-04-20,9657
2020-04-21,10056
2020-04-22,10153
2020-04-23,10588
2020-04-24,10926
2020-04-25,11005
2020-04-26,11351
2020-04-27,11570
2020-04-28,11831
2020-04-29,11927
2020-04-30,12063
2020-05-01,12389
2020-05-02,12632
2020-05-03,12775
2020-05-04,13092
2020-05-05,13224
2020-05-06,13371
2020-05-07,13585
2020-05-08,13664
2020-05-09,13841
2020-05-10,14007
2020-05-11,14167
2020-05-12,14385
2020-05-13,14468
2020-05-14,14742
2020-05-15,15011
2020-05-16,15366
2020-05-17,15658
2020-05-18,15864
2020-05-19,15942
2020-05-20,16034
2020-05-21,16367
2020-05-22,16522
2020-05-23,16694
2020-05-24,16845
2020-05-25,17041
2020-05-26,17168
2020-05-27,17225
2020-05-28,17396
2020-05-29,17641
2020-05-30,17826
2020-05-31,18000
