Date,Confirmed
2020-03-31,853
2020-04-01,1088
2020-04-02,1332
2020-04-03,1560
2020-04-04,1838
2020-04-05,2003
2020-04-06,2159
2020-04-07,2414
2020-04-08,2626
2020-04-09,2783
2020-04-10,2973
2020-04-11,3164
2020-04-12,3254
2020-04-13,3418
2020-04-14,3620
2020-04-15,3792
2020-04-16,3992
2020-04-17,4145
2020-04-18,4251
2020-04-19,4360
2020-04-20,4425
2020-04-21,4544
2020-04-22,4628
2020-04-23,4862
2020-04-24,5022
2020-04-25,5139
2020-04-26,5203
2020-04-27,5245
2020-04-28,5339
2020-04-29,5430
2020-04-30,5513
2020-05-01,5623
2020-05-02,5666
2020-05-03,5756
2020-05-04,5736
2020-05-05,5789
2020-05-06,5832
2020-05-07,5876
2020-05-08,5963
2020-05-09,6019
2020-05-10,6042
2020-05-11,6064
2020-05-12,6097
2020-05-13,6137
2020-05-14,6232
2020-05-15,6274
2020-05-16,6304
2020-05-17,6345
2020-05-18,6357
2020-05-19,6367
2020-05-20,6392
2020-05-21,6420
2020-05-22,6445
2020-05-23,6482
2020-05-24,6499
2020-05-25,6516
2020-05-26,6528
2020-05-27,6558
2020-05-28,6586
2020-05-29,6616
2020-05-30,6624
2020-05-31,6695
