Date,Confirmed
2020-03-31,305
2020-04-01,401
2020-04-02,438
2020-04-03,477
2020-04-04,501
2020-04-05,518
2020-04-06,539
2020-04-07,559
2020-04-08,610
2020-04-09,637
2020-04-10,659
2020-04-11,685
2020-04-12,716
2020-04-13,736
2020-04-14,772
2020-04-15,798
2020-04-16,826
2020-04-17,855
2020-04-18,870
2020-04-19,870
2020-04-20,878
2020-04-21,900
2020-04-22,912
2020-04-23,960
2020-04-24,974
2020-04-25,1002
2020-04-26,1001
2020-04-27,1004
2020-04-28,1033
2020-04-29,1049
2020-04-30,1075
2020-05-01,1091
2020-05-02,1101
2020-05-03,1113
2020-05-04,1118
2020-05-05,1123
2020-05-06,1129
2020-05-07,1140
2020-05-08,1160
2020-05-09,1176
2020-05-10,1182
2020-05-11,1192
2020-05-12,1206
2020-05-13,1210
2020-05-14,1231
2020-05-15,1236
2020-05-16,1241
2020-05-17,1242
2020-05-18,1245
2020-05-19,1251
2020-05-20,1261
2020-05-21,1265
2020-05-22,1275
2020-05-23,1282
2020-05-24,1294
2020-05-25,1298
2020-05-26,1301
2020-05-27,1305
2020-05-28,1313
2020-05-29,1318
2020-05-30,1331
2020-05-31,1336
