Date,Confirmed
2020-03-31,3735
2020-04-01,4470
2020-04-02,5069
2020-04-03,6096
2020-04-04,6762
2020-04-05,7518
2020-04-06,8270
2020-04-07,9045
2020-04-08,9626
2020-04-09,10093
2020-04-10,10539
2020-04-11,10951
2020-04-12,11164
2020-04-13,11648
2020-04-14,12209
2020-04-15,12544
2020-04-16,12544
2020-04-17,13233
2020-04-18,13471
2020-04-19,13692
2020-04-20,13912
2020-04-21,13912
2020-04-22,14561
2020-04-23,14994
2020-04-24,15407
2020-04-25,15407
2020-04-26,15748
2020-04-27,15872
2020-04-28,16173
2020-04-29,16494
2020-04-30,16729
2020-05-01,16970
2020-05-02,17106
2020-05-03,17298
2020-05-04,17314
2020-05-05,17391
2020-05-06,17571
2020-05-07,17667
2020-05-08,17824
2020-05-09,17960
2020-05-10,18075
2020-05-11,18194
2020-05-12,18274
2020-05-13,18389
2020-05-14,18770
2020-05-15,18882
2020-05-16,19016
2020-05-17,19065
2020-05-18,19128
2020-05-19,19292
2020-05-20,19432
2020-05-21,19538
2020-05-22,19602
2020-05-23,19697
2020-05-24,19771
2020-05-25,19816
2020-05-26,19926
2020-05-27,19999
2020-05-28,20059
2020-05-29,20227
2020-05-30,20254
2020-05-31,20415
