Date,Confirmed
2020-04-01,780
2020-04-02,869
2020-04-03,1023
2020-04-04,1023
2020-04-05,1190
2020-04-06,1256
2020-04-07,1323
2020-04-08,1416
2020-04-09,1484
2020-04-10,1575
2020-04-11,1653
2020-04-12,1710
2020-04-13,1743
2020-04-14,1795
2020-04-15,1870
2020-04-16,1947
2020-04-17,2013
2020-04-18,2065
2020-04-19,2150
2020-04-20,2191
2020-04-21,2234
2020-04-22,2304
2020-04-23,2382
2020-04-24,2431
2020-04-25,2525
2020-04-26,2629
2020-04-27,2674
2020-04-28,2722
2020-04-29,2815
2020-04-30,2940
2020-05-01,3044
2020-05-02,3147
2020-05-03,3244
2020-05-04,3296
2020-05-05,3353
2020-05-06,3469
2020-05-07,3573
2020-05-08,3722
2020-05-09,3854
2020-05-10,3952
2020-05-11,4022
2020-05-12,4069
2020-05-13,4215
2020-05-14,4387
2020-05-15,4535
2020-05-16,4759
2020-05-17,4945
2020-05-18,5005
2020-05-19,5076
2020-05-20,5373
2020-05-21,5556
2020-05-22,5735
2020-05-23,5987
2020-05-24,6185
2020-05-25,6352
2020-05-26,6517
2020-05-27,6748
2020-05-28,6952
2020-05-29,7429
2020-05-30,7656
2020-05-31,7750
