Date,Confirmed
2020-04-01,942
2020-04-02,1082
2020-04-03,1298
2020-04-04,1618
2020-04-05,1800
2020-04-06,1956
2020-04-07,2239
2020-04-08,2468
2020-04-09,2645
2020-04-10,2771
2020-04-11,2925
2020-04-12,3099
2020-04-13,3225
2020-04-14,3424
2020-04-15,3525
2020-04-16,3701
2020-04-17,3822
2020-04-18,3984
2020-04-19,4136
2020-04-20,4236
2020-04-21,4236
2020-04-22,4556
2020-04-23,4680
2020-04-24,4716
2020-04-25,4821
2020-04-26,4976
2020-04-27,5030
2020-04-28,5128
2020-04-29,5213
2020-04-30,5287
2020-05-01,5354
2020-05-02,5406
2020-05-03,5517
2020-05-04,5549
2020-05-05,5625
2020-05-06,5655
2020-05-07,5702
2020-05-08,5767
2020-05-09,5833
2020-05-10,5854
2020-05-11,5876
2020-05-12,5908
2020-05-13,5926
2020-05-14,5954
2020-05-15,5990
2020-05-16,6012
2020-05-17,6036
2020-05-18,6092
2020-05-19,6100
2020-05-20,6139
2020-05-21,6155
2020-05-22,6171
2020-05-23,6192
2020-05-24,6207
2020-05-25,6259
2020-05-26,6279
2020-05-27,6289
2020-05-28,6354
2020-05-29,6367
2020-05-30,6383
2020-05-31,6463
