Date,Confirmed
2020-03-31,869
2020-04-01,961
2020-04-02,1125
2020-04-03,1279
2020-04-04,1418
2020-04-05,1519
2020-04-06,1608
2020-04-07,1734
2020-04-08,1878
2020-04-09,2009
2020-04-10,2144
2020-04-11,2144
2020-04-12,2324
2020-04-13,2444
2020-04-14,2509
2020-04-15,2559
2020-04-16,2559
2020-04-17,2738
2020-04-18,2882
2020-04-19,2940
2020-04-20,2998
2020-04-21,3099
2020-04-22,3218
2020-04-23,3314
2020-04-24,3443
2020-04-25,3570
2020-04-26,3665
2020-04-27,3717
2020-04-28,3793
2020-04-29,3891
2020-04-30,3979
2020-05-01,4118
2020-05-02,4225
2020-05-03,4274
2020-05-04,4411
2020-05-05,4408
2020-05-06,4473
2020-05-07,4573
2020-05-08,4573
2020-05-09,4704
2020-05-10,4750
2020-05-11,4762
2020-05-12,4869
2020-05-13,5045
2020-05-14,5045
2020-05-15,5235
2020-05-16,5298
2020-05-17,5366
2020-05-18,5463
2020-05-19,5463
2020-05-20,5650
2020-05-21,5734
2020-05-22,5815
2020-05-23,5815
2020-05-24,6140
2020-05-25,6182
2020-05-26,6226
2020-05-27,6287
2020-05-28,6352
2020-05-29,6457
2020-05-30,6579
2020-05-31,6657
