Date,Confirmed
2020-04-01,47439
2020-04-02,51809
2020-04-03,57159
2020-04-04,63306
2020-04-05,67551
2020-04-06,72181
2020-04-07,76876
2020-04-08,81803
2020-04-09,87028
2020-04-10,92384
2020-04-11,98308
2020-04-12,103208
2020-04-13,106763
2020-04-14,110465
2020-04-15,118302
2020-04-16,123146
2020-04-17,127352
2020-04-18,135572
2020-04-19,138700
2020-04-20,141235
2020-04-21,144190
2020-04-22,147297
2020-04-23,145855
2020-04-24,150473
2020-04-25,155113
2020-04-26,158258
2020-04-27,160489
2020-04-28,162338
2020-04-29,164841
2020-04-30,167478
2020-05-01,169690
2020-05-02,172354
2020-05-03,174331
2020-05-04,175651
2020-05-05,176874
2020-05-06,178351
2020-05-07,180216
2020-05-08,181783
2020-05-09,183289
2020-05-10,184417
2020-05-11,185357
2020-05-12,186123
2020-05-13,187250
2020-05-14,188545
2020-05-15,190357
2020-05-16,191600
2020-05-17,192593
2020-05-18,193230
2020-05-19,193821
2020-05-20,194550
2020-05-21,195675
2020-05-22,196484
2020-05-23,197266
2020-05-24,198123
2020-05-25,198731
2020-05-26,199301
2020-05-27,199968
2020-05-28,201051
2020-05-29,201999
2020-05-30,202751
2020-05-31,203303
