Date,Confirmed
2020-03-31,202
2020-04-01,255
2020-04-02,294
2020-04-03,367
2020-04-04,469
2020-04-05,547
2020-04-06,646
2020-04-07,733
2020-04-08,801
2020-04-09,883
2020-04-10,954
2020-04-11,1031
2020-04-12,1095
2020-04-13,1155
2020-04-14,1207
2020-04-15,1261
2020-04-16,1326
2020-04-17,1366
2020-04-18,1456
2020-04-19,1587
2020-04-20,1663
2020-04-21,1765
2020-04-22,1878
2020-04-23,1969
2020-04-24,2054
2020-04-25,2153
2020-04-26,2333
2020-04-27,2407
2020-04-28,2543
2020-04-29,2606
2020-04-30,2690
2020-05-01,2769
2020-05-02,2879
2020-05-03,3043
2020-05-04,3100
2020-05-05,3207
2020-05-06,3235
2020-05-07,3367
2020-05-08,3431
2020-05-09,3531
2020-05-10,3574
2020-05-11,3665
2020-05-12,3697
2020-05-13,3726
2020-05-14,3782
2020-05-15,3849
2020-05-16,3875
2020-05-17,3937
2020-05-18,3986
2020-05-19,4000
2020-05-20,4058
2020-05-21,4097
2020-05-22,4217
2020-05-23,4252
2020-05-24,4308
2020-05-25,4355
2020-05-26,4381
2020-05-27,4432
2020-05-28,4476
2020-05-29,4519
2020-05-30,4567
2020-05-31,4627
