Date,Confirmed
2020-04-01,2262
2020-04-02,2617
2020-04-03,3067
2020-04-04,3584
2020-04-05,4082
2020-04-06,4493
2020-04-07,5078
2020-04-08,5598
2020-04-09,6069
2020-04-10,6580
2020-04-11,7007
2020-04-12,7410
2020-04-13,7634
2020-04-14,8212
2020-04-15,8579
2020-04-16,9084
2020-04-17,9672
2020-04-18,9901
2020-04-19,10304
2020-04-20,10729
2020-04-21,11128
2020-04-22,11387
2020-04-23,11811
2020-04-24,12110
2020-04-25,12520
2020-04-26,12863
2020-04-27,13047
2020-04-28,13190
2020-04-29,13445
2020-04-30,13682
2020-05-01,13994
2020-05-02,14248
2020-05-03,14521
2020-05-04,14621
2020-05-05,14840
2020-05-06,14951
2020-05-07,15215
2020-05-08,15350
2020-05-09,15544
2020-05-10,15646
2020-05-11,15727
2020-05-12,15826
2020-05-13,15905
2020-05-14,15905
2020-05-15,16103
2020-05-16,16151
2020-05-17,16204
2020-05-18,16712
2020-05-19,16747
2020-05-20,16952
2020-05-21,16980
2020-05-22,17014
2020-05-23,17160
2020-05-24,17214
2020-05-25,17248
2020-05-26,17279
2020-05-27,17338
2020-05-28,17516
2020-05-29,17561
2020-05-30,17594
2020-05-31,17649
