Date,Confirmed
2020-03-31,499
2020-04-01,582
2020-04-02,617
2020-04-03,734
2020-04-04,808
2020-04-05,1059
2020-04-06,1148
2020-04-07,1234
2020-04-08,1335
2020-04-09,1432
2020-04-10,1498
2020-04-11,1506
2020-04-12,1571
2020-04-13,1661
2020-04-14,1730
2020-04-15,1812
2020-04-16,1951
2020-04-17,2023
2020-04-18,2023
2020-04-19,2192
2020-04-20,2192
2020-04-21,2284
2020-04-22,2284
2020-04-23,2450
2020-04-24,2603
2020-04-25,2773
2020-04-26,2954
2020-04-27,3021
2020-04-28,3089
2020-04-29,3196
2020-04-30,3319
2020-05-01,3481
2020-05-02,3598
2020-05-03,3710
2020-05-04,3802
2020-05-05,3891
2020-05-06,4008
2020-05-07,4136
2020-05-08,4255
2020-05-09,4337
2020-05-10,4453
2020-05-11,4483
2020-05-12,4530
2020-05-13,4606
2020-05-14,4671
2020-05-15,4782
2020-05-16,4867
2020-05-17,4954
2020-05-18,4993
2020-05-19,5037
2020-05-20,5131
2020-05-21,5270
2020-05-22,5397
2020-05-23,5552
2020-05-24,5626
2020-05-25,5700
2020-05-26,5753
2020-05-27,5810
2020-05-28,5886
2020-05-29,5935
2020-05-30,6014
2020-05-31,6070
