Date,Confirmed
2020-03-31,257
2020-04-01,349
2020-04-02,420
2020-04-03,464
2020-04-04,512
2020-04-05,548
2020-04-06,574
2020-04-07,596
2020-04-08,651
2020-04-09,698
2020-04-10,742
2020-04-11,767
2020-04-12,798
2020-04-13,823
2020-04-14,850
2020-04-15,884
2020-04-16,932
2020-04-17,975
2020-04-18,1008
2020-04-19,1032
2020-04-20,1054
2020-04-21,1070
2020-04-22,1112
2020-04-23,1152
2020-04-24,1199
2020-04-25,1285
2020-04-26,1316
2020-04-27,1331
2020-04-28,1371
2020-04-29,1404
2020-04-30,1441
2020-05-01,1478
2020-05-02,1534
2020-05-03,1566
2020-05-04,1595
2020-05-05,1623
2020-05-06,1655
2020-05-07,1688
2020-05-08,1735
2020-05-09,1775
2020-05-10,1821
2020-05-11,1850
2020-05-12,1890
2020-05-13,1959
2020-05-14,2019
2020-05-15,2091
2020-05-16,2192
2020-05-17,2258
2020-05-18,2303
2020-05-19,2376
2020-05-20,2465
2020-05-21,2530
2020-05-22,2601
2020-05-23,2661
2020-05-24,2697
2020-05-25,2733
2020-05-26,2762
2020-05-27,2791
2020-05-28,2824
2020-05-29,2860
2020-05-30,2909
2020-05-31,2942
