Date,Confirmed
2020-03-31,249
2020-04-01,277
2020-04-02,301
2020-04-03,322
2020-04-04,349
2020-04-05,364
2020-04-06,377
2020-04-07,397
2020-04-08,422
2020-04-09,422
2020-04-10,456
2020-04-11,456
2020-04-12,494
2020-04-13,520
2020-04-14,537
2020-04-15,563
2020-04-16,579
2020-04-17,598
2020-04-18,598
2020-04-19,637
2020-04-20,646
2020-04-21,646
2020-04-22,667
2020-04-23,600
2020-04-24,639
2020-04-25,664
2020-04-26,692
2020-04-27,726
2020-04-28,742
2020-04-29,782
2020-04-30,832
2020-05-01,860
2020-05-02,903
2020-05-03,952
2020-05-04,971
2020-05-05,1002
2020-05-06,1056
2020-05-07,1115
2020-05-08,1169
2020-05-09,1218
2020-05-10,1265
2020-05-11,1287
2020-05-12,1308
2020-05-13,1395
2020-05-14,1423
2020-05-15,1440
2020-05-16,1469
2020-05-17,1501
2020-05-18,1520
2020-05-19,1665
2020-05-20,1718
2020-05-21,1771
2020-05-22,1828
2020-05-23,1904
2020-05-24,1953
2020-05-25,1981
2020-05-26,2012
2020-05-27,2033
2020-05-28,2054
2020-05-29,2092
2020-05-30,2133
2020-05-31,2170
