Date,Confirmed
2020-03-31,1556
2020-04-01,1756
2020-04-02,1993
2020-04-03,2397
2020-04-04,2741
2020-04-05,3187
2020-04-06,3533
2020-04-07,3829
2020-04-08,4075
2020-04-09,4309
2020-04-10,4532
2020-04-11,4847
2020-04-12,5027
2020-04-13,5598
2020-04-14,5830
2020-04-15,5830
2020-04-16,6266
2020-04-17,6514
2020-04-18,6514
2020-04-19,6514
2020-04-20,6514
2020-04-21,7029
2020-04-22,7152
2020-04-23,6816
2020-04-24,7155
2020-04-25,7973
2020-04-26,8106
2020-04-27,8238
2020-04-28,8374
2020-04-29,8488
2020-04-30,8650
2020-05-01,8751
2020-05-02,8910
2020-05-03,8967
2020-05-04,9015
2020-05-05,9144
2020-05-06,9215
2020-05-07,9328
2020-05-08,9402
2020-05-09,9486
2020-05-10,9543
2020-05-11,9584
2020-05-12,9632
2020-05-13,9693
2020-05-14,9771
2020-05-15,9825
2020-05-16,9879
2020-05-17,9943
2020-05-18,9965
2020-05-19,9988
2020-05-20,10043
2020-05-21,10092
2020-05-22,10142
2020-05-23,10197
2020-05-24,10225
2020-05-25,10244
2020-05-26,10277
2020-05-27,10292
2020-05-28,10325
2020-05-29,10361
2020-05-30,10389
2020-05-31,10406
