Date,Confirmed
2020-04-01,7605
2020-04-02,8746
2020-04-03,10154
2020-04-04,11370
2020-04-05,13129
2020-04-06,14185
2020-04-07,15561
2020-04-08,17008
2020-04-09,18803
2020-04-10,20320
2020-04-11,20321
2020-04-12,20934
2020-04-13,21643
2020-04-14,22691
2020-04-15,23523
2020-04-16,24812
2020-04-17,25035
2020-04-18,26143
2020-04-19,26888
2020-04-20,28127
2020-04-21,28701
2020-04-22,28854
2020-04-23,29567
2020-04-24,30606
2020-04-25,31368
2020-04-26,32059
2020-04-27,32470
2020-04-28,32724
2020-04-29,33265
2020-04-30,33664
2020-05-01,34037
2020-05-02,34478
2020-05-03,34855
2020-05-04,35077
2020-05-05,35275
2020-05-06,35543
2020-05-07,35892
2020-05-08,36223
2020-05-09,36461
2020-05-10,36702
2020-05-11,36911
2020-05-12,37062
2020-05-13,37305
2020-05-14,37544
2020-05-15,37719
2020-05-16,37942
2020-05-17,38117
2020-05-18,38224
2020-05-19,38327
2020-05-20,38411
2020-05-21,38553
2020-05-22,38672
2020-05-23,38802
2020-05-24,38964
2020-05-25,39090
2020-05-26,39199
2020-05-27,39258
2020-05-28,39359
2020-05-29,39445
2020-05-30,39532
2020-05-31,39643
