Date,Confirmed
2020-03-31,9967
2020-04-01,10683
2020-04-02,11567
2020-04-03,12351
2020-04-04,13081
2020-04-05,13723
2020-04-06,14294
2020-04-07,14294
2020-04-08,15887
2020-04-09,17004
2020-04-10,18077
2020-04-11,18729
2020-04-12,19313
2020-04-13,19786
2020-04-14,20191
2020-04-15,20947
2020-04-16,21828
2020-04-17,22476
2020-04-18,23179
2020-04-19,23803
2020-04-20,24306
2020-04-21,24656
2020-04-22,25276
2020-04-23,25959
2020-04-24,26633
2020-04-25,27231
2020-04-26,27664
2020-04-27,28007
2020-04-28,28245
2020-04-29,28626
2020-04-30,28970
2020-05-01,29232
2020-05-02,29626
2020-05-03,29884
2020-05-04,30097
2020-05-05,30240
2020-05-06,30426
2020-05-07,30708
2020-05-08,30905
2020-05-09,31087
2020-05-10,31294
2020-05-11,31384
2020-05-12,31472
2020-05-13,31611
2020-05-14,31792
2020-05-15,31943
2020-05-16,32097
2020-05-17,32224
2020-05-18,32323
2020-05-19,32402
2020-05-20,32517
2020-05-21,32673
2020-05-22,32767
2020-05-23,32881
2020-05-24,32968
2020-05-25,33049
2020-05-26,33107
2020-05-27,33186
2020-05-28,33293
2020-05-29,33349
2020-05-30,33429
2020-05-31,33481
