Date,Confirmed
2020-03-31,420
2020-04-01,444
2020-04-02,533
2020-04-03,601
2020-04-04,650
2020-04-05,664
2020-04-06,741
2020-04-07,810
2020-04-08,848
2020-04-09,861
2020-04-10,906
2020-04-11,935
2020-04-12,954
2020-04-13,970
2020-04-14,993
2020-04-15,1015
2020-04-16,1098
2020-04-17,1136
2020-04-18,1153
2020-04-19,1183
2020-04-20,1231
2020-04-21,1255
2020-04-22,1331
2020-04-23,1377
2020-04-24,1407
2020-04-25,1450
2020-04-26,1482
2020-04-27,1492
2020-04-28,1519
2020-04-29,1567
2020-04-30,1627
2020-05-01,1651
2020-05-02,1699
2020-05-03,1724
2020-05-04,1734
2020-05-05,1787
2020-05-06,1870
2020-05-07,1922
2020-05-08,1989
2020-05-09,2043
2020-05-10,2074
2020-05-11,2134
2020-05-12,2158
2020-05-13,2283
2020-05-14,2342
2020-05-15,2385
2020-05-16,2504
2020-05-17,2591
2020-05-18,2652
2020-05-19,2652
2020-05-20,2780
2020-05-21,2780
2020-05-22,3001
2020-05-23,3142
2020-05-24,3231
2020-05-25,3380
2020-05-26,3403
2020-05-27,3478
2020-05-28,3605
2020-05-29,3837
2020-05-30,4028
2020-05-31,4250
