Date,Confirmed
2020-04-01,1910
2020-04-02,2183
2020-04-03,2540
2020-04-04,2785
2020-04-05,3035
2020-04-06,3380
2020-04-07,3736
2020-04-08,4007
2020-04-09,4247
2020-04-10,4511
2020-04-11,4802
2020-04-12,4915
2020-04-13,5073
2020-04-14,5364
2020-04-15,5576
2020-04-16,5778
2020-04-17,5901
2020-04-18,6021
2020-04-19,6109
2020-04-20,6178
2020-04-21,6306
2020-04-22,6463
2020-04-23,6634
2020-04-24,6804
2020-04-25,6881
2020-04-26,6928
2020-04-27,6913
2020-04-28,7012
2020-04-29,7159
2020-04-30,7267
2020-05-01,7423
2020-05-02,7475
2020-05-03,7518
2020-05-04,7499
2020-05-05,7522
2020-05-06,7573
2020-05-07,7624
2020-05-08,7664
2020-05-09,7692
2020-05-10,7736
2020-05-11,7752
2020-05-12,7784
2020-05-13,7830
2020-05-14,7952
2020-05-15,7994
2020-05-16,8023
2020-05-17,8043
2020-05-18,8050
2020-05-19,8078
2020-05-20,8117
2020-05-21,8125
2020-05-22,8131
2020-05-23,8192
2020-05-24,8215
2020-05-25,8226
2020-05-26,8240
2020-05-27,8260
2020-05-28,8281
2020-05-29,8311
2020-05-30,8319
2020-05-31,8396
