Date,Confirmed
2020-04-01,1209
2020-04-02,1371
2020-04-03,1685
2020-04-04,2003
2020-04-05,2177
2020-04-06,2374
2020-04-07,2641
2020-04-08,2856
2020-04-09,3093
2020-04-10,3269
2020-04-11,3403
2020-04-12,3554
2020-04-13,3593
2020-04-14,3833
2020-04-15,4016
2020-04-16,4272
2020-04-17,4424
2020-04-18,4548
2020-04-19,4648
2020-04-20,4868
2020-04-21,4868
2020-04-22,5234
2020-04-23,5444
2020-04-24,5612
2020-04-25,5811
2020-04-26,5962
2020-04-27,6024
2020-04-28,6151
2020-04-29,6253
2020-04-30,6375
2020-05-01,6505
2020-05-02,6692
2020-05-03,6871
2020-05-04,6974
2020-05-05,7060
2020-05-06,7125
2020-05-07,7209
2020-05-08,7277
2020-05-09,7366
2020-05-10,7462
2020-05-11,7569
2020-05-12,7633
2020-05-13,7688
2020-05-14,7742
2020-05-15,7829
2020-05-16,7878
2020-05-17,7913
2020-05-18,7994
2020-05-19,8067
2020-05-20,8165
2020-05-21,8214
2020-05-22,8285
2020-05-23,8316
2020-05-24,8372
2020-05-25,8430
2020-05-26,8462
2020-05-27,8514
2020-05-28,8577
2020-05-29,8627
2020-05-30,8700
2020-05-31,8748
