Date,Confirmed
2020-03-31,325
2020-04-01,391
2020-04-02,441
2020-04-03,503
2020-04-04,557
2020-04-05,597
2020-04-06,644
2020-04-07,703
2020-04-08,761
2020-04-09,802
2020-04-10,850
2020-04-11,894
2020-04-12,943
2020-04-13,1012
2020-04-14,1053
2020-04-15,1102
2020-04-16,1212
2020-04-17,1320
2020-04-18,1403
2020-04-19,1513
2020-04-20,1510
2020-04-21,1557
2020-04-22,1598
2020-04-23,1673
2020-04-24,1768
2020-04-25,1839
2020-04-26,1942
2020-04-27,2005
2020-04-28,2090
2020-04-29,2216
2020-04-30,2441
2020-05-01,2589
2020-05-02,2698
2020-05-03,2905
2020-05-04,2988
2020-05-05,3097
2020-05-06,3237
2020-05-07,3377
2020-05-08,3615
2020-05-09,3710
2020-05-10,3777
2020-05-11,3881
2020-05-12,4002
2020-05-13,4113
2020-05-14,4227
2020-05-15,4330
2020-05-16,4420
2020-05-17,4493
2020-05-18,4574
2020-05-19,4706
2020-05-20,4793
2020-05-21,4885
2020-05-22,4996
2020-05-23,5097
2020-05-24,5188
2020-05-25,5310
2020-05-26,5414
2020-05-27,5486
2020-05-28,5566
2020-05-29,5674
2020-05-30,5773
2020-05-31,5862
