Date,Confirmed
2020-04-01,392
2020-04-02,541
2020-04-03,602
2020-04-04,657
2020-04-05,713
2020-04-06,744
2020-04-07,763
2020-04-08,803
2020-04-09,857
2020-04-10,895
2020-04-11,914
2020-04-12,949
2020-04-13,1024
2020-04-14,1038
2020-04-15,1073
2020-04-16,1114
2020-04-17,1158
2020-04-18,1180
2020-04-19,1198
2020-04-20,1216
2020-04-21,1235
2020-04-22,1251
2020-04-23,1274
2020-04-24,1290
2020-04-25,1304
2020-04-26,1322
2020-04-27,1339
2020-04-28,1363
2020-04-29,1371
2020-04-30,1385
2020-05-01,1413
2020-05-02,1422
2020-05-03,1434
2020-05-04,1438
2020-05-05,1446
2020-05-06,1460
2020-05-07,1474
2020-05-08,1478
2020-05-09,1505
2020-05-10,1505
2020-05-11,1512
2020-05-12,1537
2020-05-13,1553
2020-05-14,1577
2020-05-15,1615
2020-05-16,1629
2020-05-17,1655
2020-05-18,1679
2020-05-19,1699
2020-05-20,1708
2020-05-21,1726
2020-05-22,1744
2020-05-23,1768
2020-05-24,1808
2020-05-25,1831
2020-05-26,1849
2020-05-27,1877
2020-05-28,1902
2020-05-29,1945
2020-05-30,1976
2020-05-31,2002
