Date,Confirmed
2020-03-31,288
2020-04-01,319
2020-04-02,373
2020-04-03,450
2020-04-04,517
2020-04-05,580
2020-04-06,634
2020-04-07,713
2020-04-08,816
2020-04-09,931
2020-04-10,1022
2020-04-11,1107
2020-04-12,1170
2020-04-13,1229
2020-04-14,1273
2020-04-15,1399
2020-04-16,1490
2020-04-17,1546
2020-04-18,1689
2020-04-19,1797
2020-04-20,1886
2020-04-21,1977
2020-04-22,2067
2020-04-23,2321
2020-04-24,2469
2020-04-25,2541
2020-04-26,2541
2020-04-27,2585
2020-04-28,2675
2020-04-29,2776
2020-04-30,2907
2020-05-01,3070
2020-05-02,3182
2020-05-03,3286
2020-05-04,3356
2020-05-05,3505
2020-05-06,3508
2020-05-07,3613
2020-05-08,3750
2020-05-09,3852
2020-05-10,3966
2020-05-11,4028
2020-05-12,4116
2020-05-13,4166
2020-05-14,4248
2020-05-15,4325
2020-05-16,4391
2020-05-17,4439
2020-05-18,4516
2020-05-19,4573
2020-05-20,4662
2020-05-21,4726
2020-05-22,4764
2020-05-23,4839
2020-05-24,4867
2020-05-25,4894
2020-05-26,4916
2020-05-27,4930
2020-05-28,4966
2020-05-29,5012
2020-05-30,5050
2020-05-31,5082
