Date,Confirmed
2020-04-01,390
2020-04-02,470
2020-04-03,542
2020-04-04,616
2020-04-05,708
2020-04-06,822
2020-04-07,898
2020-04-08,1034
2020-04-09,1222
2020-04-10,1377
2020-04-11,1510
2020-04-12,1594
2020-04-13,1750
2020-04-14,1851
2020-04-15,1935
2020-04-16,2055
2020-04-17,2226
2020-04-18,2317
2020-04-19,2460
2020-04-20,2545
2020-04-21,2654
2020-04-22,2757
2020-04-23,2902
2020-04-24,3055
2020-04-25,3161
2020-04-26,3281
2020-04-27,3361
2020-04-28,3463
2020-04-29,3619
2020-04-30,3696
2020-05-01,3848
2020-05-02,3999
2020-05-03,4113
2020-05-04,4198
2020-05-05,4269
2020-05-06,4373
2020-05-07,4497
2020-05-08,4680
2020-05-09,4836
2020-05-10,4976
2020-05-11,5046
2020-05-12,5084
2020-05-13,5157
2020-05-14,5252
2020-05-15,5409
2020-05-16,5555
2020-05-17,5619
2020-05-18,5689
2020-05-19,5754
2020-05-20,5844
2020-05-21,5969
2020-05-22,6060
2020-05-23,6114
2020-05-24,6179
2020-05-25,6210
2020-05-26,6243
2020-05-27,6289
2020-05-28,6337
2020-05-29,6379
2020-05-30,6420
2020-05-31,6461
