Date,Confirmed
2020-03-31,236
2020-04-01,278
2020-04-02,321
2020-04-03,397
2020-04-04,484
2020-04-05,528
2020-04-06,572
2020-04-07,610
2020-04-08,671
2020-04-09,716
2020-04-10,752
2020-04-11,774
2020-04-12,795
2020-04-13,816
2020-04-14,847
2020-04-15,872
2020-04-16,898
2020-04-17,929
2020-04-18,943
2020-04-19,963
2020-04-20,970
2020-04-21,995
2020-04-22,1015
2020-04-23,1024
2020-04-24,1037
2020-04-25,1054
2020-04-26,1065
2020-04-27,1083
2020-04-28,1097
2020-04-29,1111
2020-04-30,1127
2020-05-01,1147
2020-05-02,1165
2020-05-03,1172
2020-05-04,1173
2020-05-05,1186
2020-05-06,1190
2020-05-07,1194
2020-05-08,1198
2020-05-09,1206
2020-05-10,1218
2020-05-11,1224
2020-05-12,1229
2020-05-13,1228
2020-05-14,1240
2020-05-15,1242
2020-05-16,1248
2020-05-17,1254
2020-05-18,1259
2020-05-19,1267
2020-05-20,1278
2020-05-21,1291
2020-05-22,1295
2020-05-23,1302
2020-05-24,1304
2020-05-25,1305
2020-05-26,1305
2020-05-27,1310
2020-05-28,1311
2020-05-29,1315
2020-05-30,1318
2020-05-31,1319
